id,seq,dec,raw_t,raw_tgo,d_sender,d_self,d_self_sender,raw_timeout
22,2,1,297174942573044,0,0,0,0,297174942573044
20,2,5,297174942573259,0,0,832.517,832.517,297174942573259
22,2,2,297174942591044,0,832.517,0,832.517,297174942591044
16,10,1,297174942899529,0,0,0,0,297174942899529
20,10,5,297174942899735,0,0,266.198,266.198,297174942899735
22,10,5,297174942899737,0,0,1008.74,1008.74,297174942899737
20,10,3,297174942933255,0,1008.74,266.472,826.985,297174942933255
16,10,3,297174942933256,0,1008.74,0.905835,1007.97,297174942933256
23,2,1,297174943201394,0,0,0,0,297174943201394
11,19,1,297174943222232,0,0,0,0,297174943222232
20,6,1,297174943226473,0,0,0,0,297174943226473
19,7,1,297174943226538,0,0,0,0,297174943226538
16,6,5,297174943226679,0,0,263.603,263.603,297174943226679
22,6,5,297174943226681,0,0,821.493,821.493,297174943226681
24,0,1,297174943227906,0,0,0,0,297174943227906
4,28,1,297174943233739,0,0,0,0,297174943233739
12,18,1,297174943235950,0,0,0,0,297174943235950
17,9,1,297174943236872,0,0,0,0,297174943236872
1,32,1,297174943238438,0,0,0,0,297174943238438
20,6,2,297174943245559,0,822.265,0,822.265,297174943245559
16,6,2,297174943245559,0,822.265,263.603,1003.22,297174943245559
6,26,1,297174943247360,0,0,0,0,297174943247360
8,24,1,297174943253737,0,0,0,0,297174943253737
21,5,1,297174943255181,0,0,0,0,297174943255181
10,22,1,297174943256843,0,0,0,0,297174943256843
7,25,1,297174943267887,0,0,0,0,297174943267887
14,15,1,297174943275068,0,0,0,0,297174943275068
0,33,1,297174943285794,0,0,0,0,297174943285794
5,27,1,297174943295715,0,0,0,0,297174943295715
20,6,4,297174943359741,0,263.603,0.847759,263.88,297174943359741
22,6,4,297174943359743,0,263.603,820.726,1001.67,297174943359743
22,3,1,297174943573044,0,0,0,0,297174943573044
20,3,5,297174943573257,0,0,816.767,816.767,297174943573257
22,3,2,297174943592602,0,816.767,0,816.767,297174943592602
16,11,1,297174943899529,0,0,0,0,297174943899529
20,11,5,297174943899732,0,0,259.134,259.134,297174943899732
22,11,5,297174943899735,0,0,992.509,992.509,297174943899735
20,11,3,297174943933253,0,992.509,259.427,811.248,297174943933253
16,11,3,297174943933253,0,992.509,1.11096,991.59,297174943933253
23,3,1,297174944201394,0,0,0,0,297174944201394
11,20,1,297174944222232,0,0,0,0,297174944222232
20,7,1,297174944226473,0,0,0,0,297174944226473
19,8,1,297174944226538,0,0,0,0,297174944226538
16,7,5,297174944226678,0,0,255.731,255.731,297174944226678
34,7,5,297174944226679,0,0,280.864,280.864,297174944226679
22,7,5,297174944226680,0,0,805.726,805.726,297174944226680
24,1,1,297174944227906,0,0,0,0,297174944227906
4,29,1,297174944233739,0,0,0,0,297174944233739
12,19,1,297174944235950,0,0,0,0,297174944235950
17,10,1,297174944236872,0,0,0,0,297174944236872
1,33,1,297174944238438,0,0,0,0,297174944238438
20,7,2,297174944247118,0,806.508,0,806.508,297174944247118
16,7,2,297174944247119,0,806.508,255.731,986.563,297174944247119
34,7,2,297174944247119,0,806.508,280.864,1039.12,297174944247119
6,27,1,297174944247360,0,0,0,0,297174944247360
8,25,1,297174944253737,0,0,0,0,297174944253737
21,6,1,297174944255181,0,0,0,0,297174944255181
10,23,1,297174944256843,0,0,0,0,297174944256843
7,26,1,297174944267887,0,0,0,0,297174944267887
14,16,1,297174944275068,0,0,0,0,297174944275068
0,34,1,297174944285794,0,0,0,0,297174944285794
5,28,1,297174944295715,0,0,0,0,297174944295715
25,0,1,297174944297996,0,0,0,0,297174944297996
16,7,3,297174944299081,0,280.864,255.731,61.6216,297174944299081
20,7,4,297174944299082,0,280.864,0,280.864,297174944299082
22,7,4,297174944299084,0,280.864,805.726,1038.36,297174944299084
22,4,1,297174944573044,0,0,0,0,297174944573044
20,4,5,297174944573249,0,0,800.993,800.993,297174944573249
22,4,2,297174944594155,0,800.993,0,800.993,297174944594155
16,12,1,297174944899529,0,0,0,0,297174944899529
34,12,5,297174944899731,0,0,64.0173,64.0173,297174944899731
20,12,5,297174944899731,0,0,250.068,250.068,297174944899731
22,12,5,297174944899734,0,0,975.342,975.342,297174944899734
20,12,3,297174944933254,0,975.342,250.426,795.445,297174944933254
16,12,3,297174944933255,0,975.342,1.32076,974.291,297174944933255
34,12,2,297174944933255,0,975.342,63.8313,1033.26,297174944933255
16,12,4,297174944993897,0,63.8313,1.32076,64.4439,297174944993897
20,12,4,297174944993897,0,63.8313,250.426,283.96,297174944993897
22,12,4,297174944993900,0,63.8313,974.59,1032.5,297174944993900
23,4,1,297174945201394,0,0,0,0,297174945201394
11,21,1,297174945222232,0,0,0,0,297174945222232
